title,company-name,location,type,salary_package,company_requirements
Sales Executive,Combat kinetics,"Chennai District, Tamil Nadu",Full-time ,,The Sales Executive will be responsible for managing customer relationships through effective strategies and utilizing excellent communication skills to drive…
MIS/Data Entry Operator,M/S Ranchi Security Pvt. Ltd.,"Harmu, Ranchi, Jharkhand",,,"As a data entry operator, you will be required to compile, merge, and format documents for data entry, check documents for errors, input data and update the…"
Marathi language Transcriber,TalentQ HR,Remote,,"₹8,122.97 - ₹25,305.23","You must also have superb typing skills and be able to focus for a long period of time.
Grammar, spelling and punctuation accuracy."
parent and tutor coordinator,iTutormind Digital Education LLP,Remote,Full-time,,"Remote - hybrid - once a week - visit to office - coworking space at Sector 65, Golf course extension road.*.
C) Monthly meeting of tutors and 1-2-1 meetings as…"
Email Chat Process ( Female),Al Samia Enterprises,"Fort, Mumbai, Maharashtra",Monday to Friday ,,"3 Collaborate with the recruitment and marketing teams to align email campaigns with overall company objectives.
Job Types: Full-time, Permanent."
Freelance Recruiter,new hope india,"Amritsar, Punjab",,"₹15,000 - ₹17,000","Job Types: Full-time, Part-time, Permanent, Fresher, Freelance.
Total work: 1 year (Preferred)."
Course Administrator,Bharat Yogavidya Kendra,Remote,Full-time ,,"A background in yoga studies or related fields is a plus.
Engage with potential leads to provide information about our courses and workshops."
Admission Counsellor (Target Based),RedTeam Hacker Academy5.0,"Thiruvananthapuram, Kerala",,,"Master the details of our products and services.
Find and connect with potential prospects and leads.
Collaborate with the sales and marketing teams to optimize…"
Immigration Paralegal,A Y & J Solicitors,Remote,,"₹6,00,000 - ₹9,00,000","Your attention to detail will be crucial in maintaining our high standards of service.
Document Management: You’ll be responsible for collecting and…"
Computer Vision Intern,Lincode,Remote,Full-time ,,Job Title: Computer Vision Intern (PhD Candidate)Location: India(Remote)Job Type: Internship Duration: 3 months*.
MDS Prosthodontist,Smiline Dental Hospital HYDERABAD,"HITEC City, Hyderabad, Telangana",Monday to Friday ,,"Collaborating and working closely with general dentists and other specialists to develop effective treatment plans for patients.
Total work: 1 year (Preferred)."
Data Entry Coordinator,LED FLEX GROUP,"HITEC City, Hyderabad, Telangana",,"₹45,000 - ₹50,000","What you’ll get working with LEDFlex*.
We design, develop and manufacture LED lighting solutions for the UK and International markets."
Student Coordinator,The Language X,Remote,Full-time,,"Facilitate information sessions to familiarize students with campus resources and policies.
Disseminate relevant information to students through various…"
Sales Officer (SO),Purohit Conveyor Beltings Pvt. Ltd.,"Nagaur, Rajasthan",,,We are looking for a high-performing Sales person to help us meet our customer acquisition and revenue growth targets by keeping our company competitive and…
Social Media Marketing Intern,SEEMA ENTERPRISES,Remote,,,"Pay: ₹8,086.00 - ₹22,204.71 per month.
Job Types: Full-time, Part-time.
Part-time hours: 24 per week.
Total work: 1 year (Preferred)."
Vlog Creator,Amodha Business Center,Remote,,"₹40,000 - ₹50,000","Candidate must intersted in creation of Vlog, Reels and Shorts.
Free Training can be given to Freshers.
Pay: ₹300.00 - ₹500.00 per day."
Customer service Intern,Tamasha.live,Remote,Full-time,,"Take care of onboarding and process.
Job Types: Full-time, Internship.
Higher Secondary(12th Pass) (Preferred)."
Data Entry Operator/Computer Operator,Brisk Olive,"Noida, Uttar Pradesh",,"₹15,000 - ₹16,000","Previous experience in a similar industry or company.
Job Summary:* Brisk Olive is seeking a detail-oriented and highly organized Data Entry Specialist to join…"
Bangla voice recording work,EGMS Pvt Ltd,Remote,Full-time,,"Detailed instructions and necessary training will be provided to ensure you can perform the recordings efficiently.
Expected hours: 1 per week."
Dialysis Technicians,Mukta Kidney and Dialysis Company,"Mumbai, Maharashtra",,,"Working in Mumbai: 2 years (Required).
1.1.1 Sets up and operates dialysis machines to provide dialysis treatment for patients.
Job Types: Full-time, Permanent."
Equity Dealer,CLIENT FIRST ASIA,"Raipur, Chhattisgarh",,"₹10,000",The Equity Dealer should be comfortable working in a high-pressure environment and should possess excellent decision-making skills.
Email / Chat Process,IOConnect Software Solutions Pvt Ltd,"Pimpri-Chinchwad, Maharashtra",Full-time ,,"Escalating complex issues to higher-level support when necessary.
Maintaining accurate and up-to-date customer records.
Higher Secondary(12th Pass) (Required)."
Warehouse Incharge,PMG Distribution Pvt Ltd,"Bengaluru, Karnataka",,,"The person will be given responsibility of running and maintenance of the godown.
Key responsibilities are - Handling the staff, arranging vehicles for dispatch…"
Admission Counselor,Ezyschooling,Remote,,"₹30,000 - ₹40,000","Handle end-to-end admission counseling process.
The profile would want the candidate to be fluent in English.
Hand holding parent till the admission is done."
PGT Biology ( Exp 5+ yrs ),"Bharathidhasanar Group of Schools, Arakkonam","Arakkonam, Chennai, Tamil Nadu",Full-time,,"Desired Candidate with 5+ years experience in handling Class X, XI, XII TN State Board Biology and shown good results can apply."
Data Entry Clerk,Diplok Consulting,"Remote in Pune, Maharashtra",,,"Understand the client’s data structure.
Daily communication with the client.
Create and maintain Excel sheet with the required information."
Equity Dealer,SDG & Associates,"Raigarh Fort, Maharashtra",,"₹10,000 - ₹25,000","6 months - 1 Year dealing experience on behalf of clients.
Execute the orders on behalf of clients.
Confirmations of trade done by EOD."
Hindi typist,We4u Communication Solution,"Gurugram, Haryana",Full-time,,"Confidentiality* : Handle sensitive and confidential information with discretion and maintain confidentiality.
Job Types: Full-time, Permanent."
Administrator,Wipro Limited,"Belgaum, Karnataka",,,"The purpose of the role is to resolve, maintain and manage client?s software/ hardware/ network based on the service requests raised from the end-user as per…"
Study abroad counsellors-France/Germany /Sweden,ECOLEMENTOR OVERSEAS EDUCATIONAL CONSULTANCY,"Tiruvalla, Kerala",,,"Must have prior experience in overseas student counselling and documentation.
Total work: 1 year (Preferred)."
US-Customer Service Representative,QuantumBricks,Remote,,"₹15,000.00 - ₹25,000.61","At least 1 - 3 years' of relevant work experience.
Excellent phone etiquette and excellent verbal, written, and interpersonal skills."
Social Media Intern,Supermaths,Remote,Full-time,,"We are currently hiring candidates for a position of a Social Media Intern..
Manage Social Media postings- Facebook, Insta, twitter."
PTE Trainer (only male ),Abhinav's Yellow Academy and Immigration Services,"Chandigarh, Chandigarh",,,"Be flexible and adaptable in response to the evolving needs of students and changes in the field of language education.
Only male candidate will be prefered."
Junior Graphic Designer,Medica Institute Private Limited,"Ahmedabad, Gujarat",,"₹4,000 - ₹5,000","The ideal candidate will have at least one year of experience in graphic design, with a preference for those who have previously worked in a law firm."
Office Assistant,Techcruz Technologies,Remote,Internship,,The ideal candidate will be a hard-working professional able to undertake a variety of office support tasks and work diligently under pressure.
Supervisor (Admin),Purabi Dairy (WAMUL),"Guwahati, Assam",,"₹22,000 - ₹30,000","Qualification: *Full time B. A/ B. Com from a reputed Institute/ University.
Exceptions in qualification will be considered only for Ex-servicemen."
Akashic Reader,coto,Remote,Full-time ,,"Proven experience as an Akashic Reader or similar role, with strong intuitive abilities and knowledge of spiritual principles.
Job Type: Full-time, Part-time."
Export Documentation Executive,Lattzen Innovation,"Ahmedabad, Gujarat",,,"Repare and audit export documentation for vessel shipments and settlements.
Process commercial invoice documents by validating data integrity and accuracy."
Akashic Reader,coto,Remote,,"₹20,000 - ₹32,000","Proven experience as an Akashic Reader or similar role, with strong intuitive abilities and knowledge of spiritual principles.
Job Type: Full-time, Part-time."
Sales Executive- Real Estate,NR Greenwood Construction Pvt Ltd,"RT Nagar, Bengaluru, Karnataka",Full-time,,"3.Training and support from experienced professionals in the industry.
Attend industry events, exhibitions, and property expos to represent the company and…"
Sales Executive (Female),Tatsum Jewels,"Athwa Gate, Surat, Gujarat",,,"Including materials, gemstones, and design features, to effectively answer customer.
Encourage repeat business and customer loyalty."
Resident Dentist,Moonstone Dental Care,"Madambakkam, Chennai, Tamil Nadu",,"₹15,000 - ₹25,000","Job Types: Full-time, Permanent, Fresher, Internship."
Customer Service Associate,eTutorszone.com,Remote,Full-time,,"The ideal candidate will be responsible for providing exceptional customer service to our clients, addressing their inquiries, and ensuring a seamless…"
Data Assistant,RISHAV IRON AND STEEL PRIVATE LIMITED,"Guwahati, Assam",,,You will have to make quotations in Google Sheets/ MS Office and call customers/project managers as and when required.
Content Moderator,ImpactHub Connect,Remote,,,"Collaborate with cross-functional teams, including Community Managers and Clients, to address content-related issues and implement improvements."
Hospitality Intern,BREEZE IN FLAMINGO LLP,"CBD Belapur, Navi Mumbai, Maharashtra",Full-time ,,"As an Airbnb Booking and Managing Intern, you will support our team in managing day-to-day operations of our Airbnb listings."
Steno-Typist,SR Group,"Ludhiana, Punjab",,,"Candidate should have good experience typing.
Job Types: Full-time, Permanent.
Total work: 1 year (Preferred)."
Tele Calling Executive,Vidyam Enterprises,Remote,,,"Job Types: Full-time, Part-time.
Higher Secondary(12th Pass) (Preferred).
Total work: 1 year (Preferred)."
Data Entry Operator/Computer Operator,ABHEE VENTURES PVT LTD,"Bengaluru, Karnataka",,"₹2,00,000 - ₹4,50,000","Research and obtain further information for incomplete documents.
Ensure proper use of office equipment and address any malfunctions."
Assistant Supervisor,Prashant Enterprise,Remote,Full-time,,"*only for freshar condidate and age 18+ and qualification 12th+ my team full sapported * Job Type: Fresher Pay: ₹15,000.00 - ₹20,000.00 per month…"
Ticketing Executive,FUTURE TICKETING GROUP PRIVATE LIMITED,"Delhi, Delhi",,,"Assist customers with problems that may arise during travel.
Assist customers in booking flights, including providing information on available airlines, flight…"
tellecaller,PMIUS SERVICES PRIVATE LIMITED,Remote,,"₹8,000 - ₹11,000","Answer incoming calls from customers to address inquiries, resolve complaints, and provide information on products or services.
Total work: 1 year (Preferred)."
Customer Support – Chat,Omprime,Remote in India,Full-time,,"Previous experience in Travel Industry(Sales / Exchange/Chat) for at least 6 months.
Previous experience in Travel Industry(Sales/Exchange/Chat) for at least 6…"
Assistant Supervisor,CHANDRASHEKHAR ENTREPRENEUR,"Gurugram, Haryana",,"₹15,000 - ₹20,000","*Requirements:* Leadership experience, strong communication skills, problem-solving abilities, industry knowledge.
Supervise and guide team members."
Email Chat Process (Female),immortal facility management,"Fort, Mumbai, Maharashtra",,,"3 Collaborate with the recruitment and marketing teams to align email campaigns with overall company objectives.
Email marketing: 1 year (Preferred)."
Tele Caller Executive - Work From Home,WEBSAMG (Mobile App Development Company),"Remote in Ranchi, Jharkhand",,,"Describe products and services.
Maintain customer / potential customer databases.
Take the customer through the sales process.
Identify and overcome objections."
Data Annotator,Tika Data Services Pvt Ltd,"Bengaluru, Karnataka",,"₹15,000 - ₹27,000","_Tika aspires to enable regular businesses to make full use of their raw domain-specific data, transforming it into a form that ML algorithms can process and…"
Subject Matter Expert (Mathematics),Kunduz Technologies Private Limited,Remote,Full-time ,,"If any full-time employment opportunity arises, preference will be given to existing Subject Matter experts if they meet the criteria for the role."
Digital Marketing Executive (Malappuram-Kerala),House Of Gateway LLP,"Malappuram, Kerala",,,"Perfect knowledge of web analytics tools (e.g. Google Analytics, NetInsight, WebTrends etc.).
Excellent understanding of digital marketing concepts and best…"
Motion Graphics Designer,INVESMATE,"Kolkata, West Bengal",,"₹4,000 - ₹5,000",We are seeking a highly skilled and experienced Motion Graphic Designer with Min 2 years of working exposure to join our creative team.
Administration Officer,CASAGRAND INTERNATIONAL SCHOOL,"Thiruvanmiyur, Chennai, Tamil Nadu",Part-time ,,"Monitor branch performance and address administrative issues as they arise.
Ensure that each branch complies with company policies and procedures."
Legal Intern,Webnyay,Remote,,,"Job Types: Full-time, Internship."
Retail Assistant,INTEGRATION FUTURE LIMITED,Remote,,"₹15,000 - ₹25,000","Overseeing the operation finance and general direction of a business.
Responsible for managing the schedules and communications of key company executives."
Chat process,TALENT FUTURE SERVICES,"Delhi, Delhi",Full-time ,,"Do you have excellent English and age under 35.
*Salary for freshers 21k to 25k*.
*Exp req 6 months to 2 years in the voice process with experience letter…"
Customer Support Associate - Trainee,Candor Management Services Pvt Ltd,Remote,,"₹18,000 - ₹22,000","Typing test-Eligibility criteria : 25 WPM.
Week offs: 6 days per month.
Industry: BPO(International non voice process).
Flexible to join within 1 or 2 days."
"Transcriber (General,legal,Business) -Work from Home Full time",EarningsScript Pvt.Ltd.,Remote,Full-time ,,"Adhering to the industry practices and confidentiality guidelines at all times.
Translating the recorded audio hearings into text documents."
Customer Service Assistant,Candle light events,"Remote in Tiruvalla, Kerala",,,"Ready to work part-time ( You may receive a customer query-related call any time of the day).
We are looking to hire a customer service assistant mainly…"
English Transcriber,Datagain Inc.,Remote,,"₹21,500 - ₹40,000","Job Types: Full-time, Part-time."
Recruiter,efficiently,Remote,Full-time,,"We provide vetted and trained offshore specialists in many industry verticals (our core focus is the construction industry).
Ram – 8 GB RAM or above."
Data Analytics,Plan Ahead,"Gurugram, Haryana",,"₹30,000 - ₹42,000","Salary :* 3 – 7 LPA* (Expected).
American Express Hiring | Analyst-Data Analytics.
Job Role : Analyst-Data Analytics.
Experience :* 0 – 2 Year’s."
Data Annotation Associate,Rankbloc,"Delhi, Delhi",Full-time ,,"Pay: ₹30,000.00 - ₹42,000.00 per month.
Review and understand content and ensure that project procedures and guidelines are met while upholding a high standard…"
Data Annotator,Vernacular.ai,"Bengaluru, Karnataka",,"₹12,261.78 - ₹23,000.00","Vernacular.ai is a Series A funded startup, we are an AI-First SaaS business that is driven with a mission to become the leading voice automation/AI platform in…"
Medical Billing Associate,ZH HealthCare,Remote,Full-time ,,"Payment posting knowledge with 2-3 years of experience.
Payment posting: 3 years (Required).
Pay: ₹12,261.78 - ₹23,000.00 per month."
Administrative Assistant,Simpled International Education,"Remote in Lucknow, Uttar Pradesh",,,"To proceed with further processes, please fill the ATTACHED BELOW FORM: *https://docs.google.com/forms/d/e…
This position requires a proactive individual with…"
Office Administrator,Relyon Information Technologies India Pvt Ltd,"Delhi, Delhi",,"₹15,000 - ₹17,000","We strongly believe that the nation will best benefit from an.
Comfortable with 6 days working role.
Total work: 3 years (Required)."
Intern Recruiter,Philomath Research,Remote,Internship,,"Would you be able to manage?
Do you have a laptop?
Prior experience as an HR Recruiter.
Pay: ₹15,000.00 - ₹17,000.00 per month.
Shift time is 1pm to 10pm."
Chat Support Executive,Astoria Software Exports Pvt. Ltd.,"Remote in Kochi, Kerala",,,"Candidates must be ready to join on an immediate basis, and can work from home.
Pay: ₹15,000.00 - ₹20,000.00 per month.
Shift hours are 08.00 hours."
Data Entry Operator,Paras Power And Coal Benefication Limited,Remote,,"₹14,000 - ₹20,000","Pay: ₹10,000.00 - ₹12,000.00 per month.
We are seeking a detail-oriented Data Entry Clerk to join our team.
Perform data entry tasks efficiently and accurately."
Pharmacist,Shreshtha Ayurveda,"Grant Road, Mumbai, Maharashtra",Full-time,,"Daily cash deposit to the bank.
Pay: ₹14,000.00 - ₹20,000.00 per month.
Pay: ₹14,000.00 - ₹20,000.00 per month.
We do research and find better solutions."
Credit Control Executive,HCG Cancer Centre,"Vadodara, Gujarat",,"₹13,758.25 - ₹41,300.01","Pay: Up to ₹40,000.00 per month.
Customer accounts: Monitoring customer accounts for timely payments and addressing payment delays."
Receptionist / Office Coordinator,Cybernician,Remote,Contractual / Temporary ,,"We are focused on providing technology solutions for leading software companies and global enterprises, a high potential area that leverages our strengths in…"
Typist,PRAKASH K PRAKASH,"Delhi, Delhi",,,"*CANDIDATE MUST BE A COMMERCE GRADUATE HAVING MIN. 3-5 YRS OF EXPERIENCE**.
Pay: ₹30,000.00 - ₹40,000.00 per month."
Email & Chat Executive,Hiranya IT Solutions Pvt Ltd,"Begumpet, Hyderabad, Telangana",,"₹10,076.97 - ₹30,687.34","Shift between 8 am to 8 pm.
6 Days working & rotational Offo.
Candidate should have min 8 months or 1 Year of Exp in Email or Chat."
Content Writing Jobs - Jobs For Content Writing,Techasoft,Remote,Full-time ,,"Write clear marketing copy to promote our products/services.
Identify customers’ needs and gaps in our content and recommend new topics."
Account Executive,Fibre Bond Industries1.7,"Ghansoli, Navi Mumbai, Maharashtra",,,"Exposure to the industry's latest trends and technologies.
Perform GST reconciliation and TDS working.
Ensure compliance with accounting principles and company…"
Information Security Intern,SmartQ Bottle Lab Technologies Pvt Ltd,"Bengaluru, Karnataka",Internship,,"We are seeking a motivated Information Security Intern to join our team as an intern, you will have the opportunity to gain hands-on experience in the field…"
Interior Designer,DFD INTERIORS,"Kochi, Kerala",,"From ₹20,000","We are looking for a full time and experienced 3D interior designer for our interior firm in Kochi, Ernakulam.
Interior design: 2 years (Preferred)."
"PGT - Sports (PE, 4 years)",Brahmavid The Global School3.3,"Raipur, Chhattisgarh",Full-time,,"Mahadev Ghat, Raipur, Chhattisgarh: Reliably commute or willing to relocate with an employer-provided relocation package (Preferred)."
